X    f(X)    f'(X)    f''(X)    C(X)    absolute_error
1.030000000000001e-01    -4.986762162907716e-01    2.565914432716816e-02    2.473576897914697e-01    4.569022937501913e-17    4.569022937501913e-17
1.040000000000001e-01    -4.986504334761390e-01    2.590647637825906e-02    2.473063309416849e-01    3.280350272231511e-17    3.280350272231511e-17
1.050000000000001e-01    -4.986244033552161e-01    2.615375682619046e-02    2.472544835088197e-01    2.756235930425188e-17    2.756235930425188e-17
1.060000000000001e-01    -4.985981259798505e-01    2.640098518248868e-02    2.472021477120061e-01    2.339287779383891e-18    2.339287779383891e-18
1.070000000000001e-01    -4.985716014023778e-01    2.664816095890018e-02    2.471493237724167e-01    4.881682915776284e-17    4.881682915776284e-17
1.080000000000001e-01    -4.985448296756220e-01    2.689528366739362e-02    2.470960119132628e-01    3.951115393286188e-17    3.951115393286188e-17
1.090000000000001e-01    -4.985178108528949e-01    2.714235282016189e-02    2.470422123597932e-01    7.457403118514915e-17    7.457403118514915e-17
1.100000000000001e-01    -4.984905449879961e-01    2.738936792962415e-02    2.469879253392920e-01    8.149775255331863e-17    8.149775255331863e-17
1.110000000000001e-01    -4.984630321352125e-01    2.763632850842786e-02    2.469331510810773e-01    1.440151769998587e-16    1.440151769998587e-16
1.120000000000001e-01    -4.984352723493184e-01    2.788323406945081e-02    2.468778898164994e-01    1.227633073405529e-16    1.227633073405529e-16
1.130000000000001e-01    -4.984072656855751e-01    2.813008412580316e-02    2.468221417789395e-01    1.432560081631269e-16    1.432560081631269e-16
1.140000000000001e-01    -4.983790121997306e-01    2.837687819082945e-02    2.467659072038072e-01    9.917232242599196e-17    9.917232242599196e-17
1.150000000000001e-01    -4.983505119480194e-01    2.862361577811068e-02    2.467091863285398e-01    7.781698223904322e-17    7.781698223904322e-17
1.160000000000001e-01    -4.983217649871624e-01    2.887029640146627e-02    2.466519793925998e-01    7.745777505937544e-17    7.745777505937544e-17
1.170000000000001e-01    -4.982927713743664e-01    2.911691957495611e-02    2.465942866374736e-01    1.220312325450537e-16    1.220312325450537e-16
1.180000000000001e-01    -4.982635311673244e-01    2.936348481288261e-02    2.465361083066694e-01    8.200529155100531e-17    8.200529155100531e-17
1.190000000000001e-01    -4.982340444242144e-01    2.960999162979269e-02    2.464774446457158e-01    1.133386834304753e-16    1.133386834304753e-16
1.200000000000001e-01    -4.982043112037002e-01    2.985643954047980e-02    2.464182959021599e-01    1.121310935985003e-16    1.121310935985003e-16
1.210000000000001e-01    -4.981743315649305e-01    3.010282805998596e-02    2.463586623255655e-01    1.464202921112802e-16    1.464202921112802e-16
1.220000000000001e-01    -4.981441055675388e-01    3.034915670360374e-02    2.462985441675111e-01    1.801202929457048e-16    1.801202929457048e-16
1.230000000000001e-01    -4.981136332716434e-01    3.059542498687831e-02    2.462379416815884e-01    1.385642979835985e-16    1.385642979835985e-16
1.240000000000001e-01    -4.980829147378466e-01    3.084163242560945e-02    2.461768551234004e-01    9.402196228918314e-17    9.402196228918314e-17
1.250000000000001e-01    -4.980519500272350e-01    3.108777853585352e-02    2.461152847505593e-01    7.597331899432490e-17    7.597331899432490e-17
1.260000000000001e-01    -4.980207392013790e-01    3.133386283392552e-02    2.460532308226849e-01    8.407825932876729e-17    8.407825932876729e-17
1.270000000000001e-01    -4.979892823223324e-01    3.157988483640105e-02    2.459906936014027e-01    8.357639756449760e-17    8.357639756449760e-17
1.280000000000001e-01    -4.979575794526324e-01    3.182584406011835e-02    2.459276733503418e-01    6.636918543240458e-17    6.636918543240458e-17
1.290000000000001e-01    -4.979256306552993e-01    3.207174002218031e-02    2.458641703351335e-01    1.222582191518722e-16    1.222582191518722e-16
1.300000000000001e-01    -4.978934359938361e-01    3.231757223995641e-02    2.458001848234086e-01    1.331499851059693e-16    1.331499851059693e-16
1.310000000000001e-01    -4.978609955322283e-01    3.256334023108479e-02    2.457357170847962e-01    1.408006037548447e-16    1.408006037548447e-16
1.320000000000001e-01    -4.978283093349435e-01    3.280904351347421e-02    2.456707673909213e-01    1.160908966975651e-16    1.160908966975651e-16
1.330000000000001e-01    -4.977953774669315e-01    3.305468160530604e-02    2.456053360154031e-01    1.263071745057296e-16    1.263071745057296e-16
1.340000000000001e-01    -4.977621999936236e-01    3.330025402503629e-02    2.455394232338530e-01    9.691597154870857e-17    9.691597154870857e-17
1.350000000000001e-01    -4.977287769809326e-01    3.354576029139757e-02    2.454730293238723e-01    1.085591822146433e-16    1.085591822146433e-16
1.360000000000001e-01    -4.976951084952523e-01    3.379119992340105e-02    2.454061545650507e-01    1.519269500687062e-16    1.519269500687062e-16
